input_token,big,brown,calico,cat,dog,lay,mat,on,red,rug,sat,small,tabby,the
big|big|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|big|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|brown|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|dog,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|on,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|red,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|rug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|small,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|tabby,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|calico|the,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|big,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big|cat|calico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
