epoch,avg_loss,accuracy
1,2.55308029,0.482759
2,2.29975074,0.758621
3,2.06698031,0.770115
4,1.85742352,0.770115
5,1.67203758,0.770115
6,1.51011587,0.770115
7,1.36987817,0.770115
8,1.24906958,0.770115
9,1.14532395,0.770115
10,1.05634392,0.770115
11,0.97999358,0.770115
12,0.91435027,0.770115
13,0.85772887,0.770115
14,0.80868407,0.770115
15,0.76599624,0.770115
16,0.72864791,0.770115
17,0.69579627,0.770115
18,0.66674581,0.770115
19,0.64092320,0.770115
20,0.61785538,0.770115
21,0.59715111,0.770115
22,0.57848571,0.770115
23,0.56158857,0.770115
24,0.54623311,0.770115
25,0.53222865,0.770115
26,0.51941385,0.770115
27,0.50765150,0.770115
28,0.49682427,0.770115
29,0.48683128,0.770115
30,0.47758542,0.770115
31,0.46901101,0.770115
32,0.46104206,0.770115
33,0.45362076,0.770115
34,0.44669621,0.770115
35,0.44022349,0.770115
36,0.43416274,0.770115
37,0.42847851,0.770115
38,0.42313916,0.770115
39,0.41811635,0.770115
40,0.41338467,0.770115
41,0.40892120,0.770115
42,0.40470531,0.770115
43,0.40071830,0.770115
44,0.39694324,0.770115
45,0.39336475,0.770115
46,0.38996883,0.770115
47,0.38674272,0.770115
48,0.38367476,0.770115
49,0.38075430,0.770115
50,0.37797157,0.770115
